,Image,Accuracy,F1,Jaccard,Recall,Precision
716,new_data\test\image\volume-89_slice_45_0,0.9910049438476562,0.9910049438476562,0.9821702671435376,0.9910049438476562,0.9910049438476562
717,new_data\test\image\volume-89_slice_460_0,0.9970855712890625,0.9970855712890625,0.9941880810017192,0.9970855712890625,0.9970855712890625
718,new_data\test\image\volume-89_slice_474_0,0.9955673217773438,0.9955673217773438,0.9911737674037052,0.9955673217773438,0.9955673217773438
719,new_data\test\image\volume-89_slice_483_0,0.9944419860839844,0.9944419860839844,0.9889454137123911,0.9944419860839844,0.9944419860839844
720,new_data\test\image\volume-89_slice_48_0,0.9694633483886719,0.9694633483886719,0.940736408426461,0.9694633483886719,0.9694633483886719
721,new_data\test\image\volume-89_slice_499_0,0.8284339904785156,0.8284339904785156,0.707116785350304,0.8284339904785156,0.8284339904785156
722,new_data\test\image\volume-89_slice_522_0,0.988494873046875,0.988494873046875,0.9772514708100769,0.988494873046875,0.988494873046875
723,new_data\test\image\volume-89_slice_531_0,0.9966850280761719,0.9966850280761719,0.9933919616140647,0.9966850280761719,0.9966850280761719
724,new_data\test\image\volume-89_slice_548_0,0.9764251708984375,0.9764251708984375,0.953936285982618,0.9764251708984375,0.9764251708984375
725,new_data\test\image\volume-89_slice_556_0,0.9994125366210938,0.9994125366210938,0.9988257630633859,0.9994125366210938,0.9994125366210938
726,new_data\test\image\volume-89_slice_561_0,1.0,1.0,1.0,1.0,1.0
727,new_data\test\image\volume-89_slice_562_0,1.0,1.0,1.0,1.0,1.0
728,new_data\test\image\volume-89_slice_569_0,1.0,1.0,1.0,1.0,1.0
729,new_data\test\image\volume-89_slice_56_0,0.9757499694824219,0.9757499694824219,0.952648221049456,0.9757499694824219,0.9757499694824219
730,new_data\test\image\volume-89_slice_573_0,1.0,1.0,1.0,1.0,1.0
731,new_data\test\image\volume-89_slice_576_0,1.0,1.0,1.0,1.0,1.0
732,new_data\test\image\volume-89_slice_584_0,1.0,1.0,1.0,1.0,1.0
733,new_data\test\image\volume-89_slice_5_0,0.8331222534179688,0.8331222534179688,0.7139756121481579,0.8331222534179688,0.8331222534179688
734,new_data\test\image\volume-89_slice_601_0,1.0,1.0,1.0,1.0,1.0
735,new_data\test\image\volume-89_slice_606_0,1.0,1.0,1.0,1.0,1.0
736,new_data\test\image\volume-89_slice_608_0,1.0,1.0,1.0,1.0,1.0
737,new_data\test\image\volume-89_slice_60_0,1.0,1.0,1.0,1.0,1.0
738,new_data\test\image\volume-89_slice_625_0,1.0,1.0,1.0,1.0,1.0
739,new_data\test\image\volume-89_slice_638_0,1.0,1.0,1.0,1.0,1.0
740,new_data\test\image\volume-89_slice_646_0,1.0,1.0,1.0,1.0,1.0
741,new_data\test\image\volume-89_slice_648_0,1.0,1.0,1.0,1.0,1.0
742,new_data\test\image\volume-89_slice_661_0,1.0,1.0,1.0,1.0,1.0
743,new_data\test\image\volume-89_slice_66_0,1.0,1.0,1.0,1.0,1.0
744,new_data\test\image\volume-89_slice_671_0,1.0,1.0,1.0,1.0,1.0
745,new_data\test\image\volume-89_slice_674_0,1.0,1.0,1.0,1.0,1.0
746,new_data\test\image\volume-89_slice_681_0,1.0,1.0,1.0,1.0,1.0
747,new_data\test\image\volume-89_slice_700_0,1.0,1.0,1.0,1.0,1.0
748,new_data\test\image\volume-89_slice_706_0,1.0,1.0,1.0,1.0,1.0
749,new_data\test\image\volume-89_slice_718_0,1.0,1.0,1.0,1.0,1.0
750,new_data\test\image\volume-89_slice_745_0,1.0,1.0,1.0,1.0,1.0
751,new_data\test\image\volume-89_slice_754_0,1.0,1.0,1.0,1.0,1.0
752,new_data\test\image\volume-89_slice_81_0,1.0,1.0,1.0,1.0,1.0
753,new_data\test\image\volume-89_slice_87_0,1.0,1.0,1.0,1.0,1.0
754,new_data\test\image\volume-89_slice_96_0,1.0,1.0,1.0,1.0,1.0
755,new_data\test\image\volume-8_slice_106_0,1.0,1.0,1.0,1.0,1.0
756,new_data\test\image\volume-8_slice_114_0,1.0,1.0,1.0,1.0,1.0
757,new_data\test\image\volume-8_slice_119_0,1.0,1.0,1.0,1.0,1.0
758,new_data\test\image\volume-8_slice_135_0,1.0,1.0,1.0,1.0,1.0
759,new_data\test\image\volume-8_slice_138_0,1.0,1.0,1.0,1.0,1.0
760,new_data\test\image\volume-8_slice_139_0,1.0,1.0,1.0,1.0,1.0
761,new_data\test\image\volume-8_slice_140_0,1.0,1.0,1.0,1.0,1.0
762,new_data\test\image\volume-8_slice_141_0,1.0,1.0,1.0,1.0,1.0
763,new_data\test\image\volume-8_slice_151_0,1.0,1.0,1.0,1.0,1.0
764,new_data\test\image\volume-8_slice_16_0,1.0,1.0,1.0,1.0,1.0
765,new_data\test\image\volume-8_slice_180_0,1.0,1.0,1.0,1.0,1.0
766,new_data\test\image\volume-8_slice_182_0,1.0,1.0,1.0,1.0,1.0
767,new_data\test\image\volume-8_slice_196_0,1.0,1.0,1.0,1.0,1.0
768,new_data\test\image\volume-8_slice_204_0,1.0,1.0,1.0,1.0,1.0
769,new_data\test\image\volume-8_slice_221_0,1.0,1.0,1.0,1.0,1.0
770,new_data\test\image\volume-8_slice_222_0,1.0,1.0,1.0,1.0,1.0
771,new_data\test\image\volume-8_slice_230_0,1.0,1.0,1.0,1.0,1.0
772,new_data\test\image\volume-8_slice_235_0,1.0,1.0,1.0,1.0,1.0
773,new_data\test\image\volume-8_slice_238_0,1.0,1.0,1.0,1.0,1.0
774,new_data\test\image\volume-8_slice_240_0,1.0,1.0,1.0,1.0,1.0
775,new_data\test\image\volume-8_slice_247_0,1.0,1.0,1.0,1.0,1.0
776,new_data\test\image\volume-8_slice_254_0,1.0,1.0,1.0,1.0,1.0
777,new_data\test\image\volume-8_slice_256_0,1.0,1.0,1.0,1.0,1.0
778,new_data\test\image\volume-8_slice_25_0,1.0,1.0,1.0,1.0,1.0
779,new_data\test\image\volume-8_slice_262_0,1.0,1.0,1.0,1.0,1.0
780,new_data\test\image\volume-8_slice_268_0,1.0,1.0,1.0,1.0,1.0
781,new_data\test\image\volume-8_slice_270_0,1.0,1.0,1.0,1.0,1.0
782,new_data\test\image\volume-8_slice_275_0,1.0,1.0,1.0,1.0,1.0
783,new_data\test\image\volume-8_slice_276_0,1.0,1.0,1.0,1.0,1.0
784,new_data\test\image\volume-8_slice_283_0,1.0,1.0,1.0,1.0,1.0
785,new_data\test\image\volume-8_slice_295_0,1.0,1.0,1.0,1.0,1.0
786,new_data\test\image\volume-8_slice_297_0,1.0,1.0,1.0,1.0,1.0
787,new_data\test\image\volume-8_slice_303_0,1.0,1.0,1.0,1.0,1.0
788,new_data\test\image\volume-8_slice_314_0,1.0,1.0,1.0,1.0,1.0
789,new_data\test\image\volume-8_slice_331_0,0.9997673034667969,0.9997673034667969,0.9995347152037528,0.9997673034667969,0.9997673034667969
790,new_data\test\image\volume-8_slice_348_0,0.9925994873046875,0.9925994873046875,0.9853077051241271,0.9925994873046875,0.9925994873046875
791,new_data\test\image\volume-8_slice_357_0,0.9996566772460938,0.9996566772460938,0.9993135901523067,0.9996566772460938,0.9996566772460938
792,new_data\test\image\volume-8_slice_364_0,0.999603271484375,0.999603271484375,0.9992068576309447,0.999603271484375,0.999603271484375
793,new_data\test\image\volume-8_slice_376_0,0.9967689514160156,0.9980176918140984,0.9960432271713648,0.9992695649513553,0.9967689514160156
794,new_data\test\image\volume-8_slice_378_0,0.9660835266113281,0.9660835266113281,0.9343922371649418,0.9660835266113281,0.9660835266113281
795,new_data\test\image\volume-8_slice_379_0,0.9959144592285156,0.9971697464612282,0.9943554683780541,0.9984282021079683,0.9959144592285156
796,new_data\test\image\volume-8_slice_384_0,0.9968528747558594,0.997911145394973,0.9958309992264103,0.9989716653669128,0.9968528747558594
797,new_data\test\image\volume-8_slice_387_0,0.9970855712890625,0.9979230616514714,0.9958547327674231,0.9987619600770336,0.9970855712890625
798,new_data\test\image\volume-8_slice_38_0,0.9918632507324219,0.9931153282775717,0.9863248057781014,0.9943705709357779,0.9918632507324219
799,new_data\test\image\volume-8_slice_394_0,0.9983444213867188,0.9986834824750529,0.9973704268292682,0.9990227739477642,0.9983444213867188
800,new_data\test\image\volume-8_slice_3_0,0.9554519653320312,0.9554519653320312,0.9147037126308332,0.9554519653320312,0.9554519653320312
801,new_data\test\image\volume-8_slice_409_0,0.9977531433105469,0.9979872749992845,0.9959826358478352,0.998221516595998,0.9977531433105469
802,new_data\test\image\volume-8_slice_414_0,0.9966278076171875,0.9973240291493771,0.994662341716731,0.9980212240906416,0.9966278076171875
803,new_data\test\image\volume-8_slice_435_0,0.9976692199707031,0.9976692199707031,0.9953492797472931,0.9976692199707031,0.9976692199707031
804,new_data\test\image\volume-8_slice_447_0,0.9960289001464844,0.9960289001464844,0.9920892148108745,0.9960289001464844,0.9960289001464844
