,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
1333,volume-96_slice_39_0,0.9708137512207031,0.9708137512207031,0.9432828629144351,0.9708137512207031,0.9708137512207031,"[[0.00790068 0.01598995]
 [0.99209932 0.98401005]]"
1334,volume-96_slice_401_0,0.9951057434082031,0.9953126699085617,0.9906690769335936,0.9955196824851642,0.9951057434082031,"[[8.25351262e-01 7.04732671e-05]
 [1.74648738e-01 9.99929527e-01]]"
1335,volume-96_slice_402_0,0.9944076538085938,0.9946125376778969,0.9892828137926847,0.9948175059915432,0.9944076538085938,"[[8.06207198e-01 1.09729478e-04]
 [1.93792802e-01 9.99890271e-01]]"
1336,volume-96_slice_417_0,0.993896484375,0.994177128248178,0.9884216755944704,0.9944579306554299,0.993896484375,"[[8.40402173e-01 2.80252464e-04]
 [1.59597827e-01 9.99719748e-01]]"
1337,volume-96_slice_422_0,0.9946060180664062,0.9953217244913735,0.9906870176798477,0.996038461685392,0.9946060180664062,"[[8.85777622e-01 2.29071549e-04]
 [1.14222378e-01 9.99770928e-01]]"
1338,volume-96_slice_423_0,0.9943046569824219,0.9950144489362758,0.9900783627019368,0.9957252549948428,0.9943046569824219,"[[8.78126785e-01 2.05521412e-04]
 [1.21873215e-01 9.99794479e-01]]"
1339,volume-96_slice_427_0,0.99237060546875,0.9929425595340333,0.9859840359002736,0.9935151732724314,0.99237060546875,"[[8.35912379e-01 2.58049148e-04]
 [1.64087621e-01 9.99741951e-01]]"
1340,volume-96_slice_436_0,0.9933204650878906,0.9934189944986609,0.9869240419491895,0.9935175434580223,0.9933204650878906,"[[8.55869644e-01 3.90463137e-04]
 [1.44130356e-01 9.99609537e-01]]"
1341,volume-96_slice_446_0,0.9921875,0.9921875,0.9844961240310077,0.9921875,0.9921875,"[[8.42193755e-01 3.08426863e-04]
 [1.57806245e-01 9.99691573e-01]]"
1342,volume-96_slice_455_0,0.9845809936523438,0.9846711429879444,0.9698051386874479,0.9847613088334045,0.9845809936523438,"[[7.45709828e-01 3.32371348e-04]
 [2.54290172e-01 9.99667629e-01]]"
1343,volume-96_slice_469_0,0.9875831604003906,0.9880505304938554,0.9763832684017786,0.9885183431591166,0.9875831604003906,"[[8.12830189e-01 1.26018309e-04]
 [1.87169811e-01 9.99873982e-01]]"
1344,volume-96_slice_489_0,0.9868698120117188,0.9870448974141303,0.9744211711796544,0.9872200449530817,0.9868698120117188,"[[0.857537  0.0021023]
 [0.142463  0.9978977]]"
1345,volume-96_slice_491_0,0.9867935180664062,0.9870815724956356,0.9744926597175394,0.9873697951456347,0.9867935180664062,"[[0.86991384 0.00288121]
 [0.13008616 0.99711879]]"
1346,volume-96_slice_494_0,0.9848670959472656,0.9851884216692074,0.9708092050838535,0.985509957132987,0.9848670959472656,"[[0.85820967 0.00345939]
 [0.14179033 0.99654061]]"
1347,volume-96_slice_525_0,0.9650077819824219,0.9650114632090119,0.9323885520520429,0.9650151444636876,0.9650077819824219,"[[0.80944409 0.01361495]
 [0.19055591 0.98638505]]"
1348,volume-96_slice_536_0,0.963714599609375,0.9639333878958884,0.9303778122318506,0.9641522755462265,0.963714599609375,"[[0.83514094 0.01569154]
 [0.16485906 0.98430846]]"
1349,volume-96_slice_548_0,0.8307228088378906,0.8307228088378906,0.7104584055148294,0.8307228088378906,0.8307228088378906,"[[0. 0.]
 [1. 1.]]"
1350,volume-96_slice_549_0,0.9560623168945312,0.9560623168945312,0.9158231687263851,0.9560623168945312,0.9560623168945312,"[[0.78762497 0.00902208]
 [0.21237503 0.99097792]]"
1351,volume-96_slice_570_0,0.9696807861328125,0.970360035196146,0.9424265455556585,0.9710402365372053,0.9696807861328125,"[[0.86227739 0.00557433]
 [0.13772261 0.99442567]]"
1352,volume-96_slice_573_0,0.9595298767089844,0.9601140525489102,0.9232878421929716,0.9606989401317674,0.9595298767089844,"[[0.81528299 0.0057807 ]
 [0.18471701 0.9942193 ]]"
1353,volume-96_slice_581_0,0.9620132446289062,0.9625052478913019,0.9277205941861577,0.962997754662512,0.9620132446289062,"[[0.81986364 0.00394376]
 [0.18013636 0.99605624]]"
1354,volume-96_slice_593_0,0.9568367004394531,0.9578616340192505,0.9191309573540297,0.9588887657072516,0.9568367004394531,"[[0.80763295 0.00716181]
 [0.19236705 0.99283819]]"
1355,volume-96_slice_597_0,0.9635810852050781,0.964618768664411,0.9316556447716384,0.9656586895022555,0.9635810852050781,"[[0.83476652 0.00645969]
 [0.16523348 0.99354031]]"
1356,volume-96_slice_59_0,0.8511810302734375,0.8519561444872292,0.7420937278626043,0.8527326716781253,0.8511810302734375,"[[0.87564576 0.14750712]
 [0.12435424 0.85249288]]"
1357,volume-96_slice_622_0,0.952789306640625,0.9531219889144351,0.9104422662637559,0.9534549035925195,0.952789306640625,"[[0.66941244 0.00314644]
 [0.33058756 0.99685356]]"
