,Image,Accuracy,F1,Jaccard,Recall,Precision,confusion
780,volume-8_slice_268_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
781,volume-8_slice_270_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
782,volume-8_slice_275_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
783,volume-8_slice_276_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
784,volume-8_slice_283_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
785,volume-8_slice_295_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
786,volume-8_slice_297_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
787,volume-8_slice_303_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
788,volume-8_slice_314_0,1.0,1.0,1.0,1.0,1.0,"[[0. 0.]
 [0. 1.]]"
789,volume-8_slice_331_0,0.9994964599609375,0.9994964599609375,0.9989934267717977,0.9994964599609375,0.9994964599609375,"[[9.28571429e-01 4.95963619e-04]
 [7.14285714e-02 9.99504036e-01]]"
790,volume-8_slice_348_0,0.9922904968261719,0.9922904968261719,0.9846989570912119,0.9922904968261719,0.9922904968261719,"[[0. 0.]
 [1. 1.]]"
791,volume-8_slice_357_0,0.9993209838867188,0.9993209838867188,0.9986428892734883,0.9993209838867188,0.9993209838867188,"[[9.58223780e-01 1.35280862e-04]
 [4.17762197e-02 9.99864719e-01]]"
792,volume-8_slice_364_0,0.9991378784179688,0.9991378784179688,0.9982772420627358,0.9991378784179688,0.9991378784179688,"[[9.71360382e-01 3.64998932e-04]
 [2.86396181e-02 9.99635001e-01]]"
793,volume-8_slice_376_0,0.9958381652832031,0.9970857396033856,0.9941884156768058,0.99833644373738,0.9958381652832031,"[[0.98248215 0.00120047]
 [0.01751785 0.99879953]]"
794,volume-8_slice_378_0,0.9670028686523438,0.9670028686523438,0.9361137986809162,0.9670028686523438,0.9670028686523438,"[[0. 0.]
 [1. 1.]]"
